trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
33,False,"{'a': 0.5, 'e': 0.7177305325982749}",20,0,-13.562843609292047,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",25,0,-50.40366873983551,"{0: 20, 1: 3, 2: 0, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",20,0,-30.7429846547947,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",20,0,-46.728918818762516,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.6894490858690777}",30,0,-154.2484251164775,"{0: 17, 1: 1, 2: 9, 3: 2, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.682554595010387}",25,0,-28.485578896549633,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",25,2,-47.819669615495684,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",20,2,-48.8110158495516,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",20,0,-42.01431087598607,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",25,0,-156.96268862557014,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",25,0,-40.19352969409474,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",20,0,-85.26343408341467,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",20,0,-7.790249456530615,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",20,0,3.4944919528402645,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.6235253948912}",25,0,-15.58178028938227,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.617290140942288}",25,0,-84.54967242228753,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.611117239532865}",25,0,-17.201678715150464,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.6050060671375364}",20,0,-91.67231137074421,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
